Player,Age,Pos,G,MP,FG%,3P%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,contract_length
Aaron Wiggins,26.0,SG,66.0,22.5,0.492,0.389,0.582,0.828,1.1,2.7,3.8,1.6,0.8,0.3,0.9,1.3,11.4,OKC,10514017,9672897,8831776,7990655,7990655,0,45000000,5
Chris Paul,39.0,PG,64.0,28.5,0.419,0.375,0.542,0.939,0.4,3.2,3.6,7.9,1.3,0.2,1.5,1.8,8.9,SAS,10460000,0,0,0,0,0,10460000,1
Scoot Henderson,20.0,PG,59.0,26.8,0.432,0.369,0.51,0.772,0.7,2.3,3.0,5.1,1.1,0.2,2.6,2.8,13.0,POR,10259160,10748040,13585523,0,0,0,21007200,3
Isaac Okoro,24.0,SG,39.0,19.3,0.437,0.374,0.546,0.677,0.9,1.4,2.3,1.4,0.6,0.4,0.4,2.0,5.7,CLE,10185186,11000000,11814814,0,0,0,33000000,3
Scottie Barnes,23.0,PF,51.0,34.1,0.442,0.263,0.479,0.778,1.7,6.2,7.9,6.0,1.5,1.1,2.9,1.9,19.6,TOR,10130980,38661750,41754690,44847630,47940570,51033510,234369130,6
Reed Sheppard,20.0,PG,45.0,11.9,0.332,0.279,0.411,0.813,0.4,1.0,1.4,1.2,0.6,0.3,0.6,0.9,3.9,HOU,10098960,10603560,11108880,14041625,0,0,20702520,4
Mike Conley,37.0,PG,57.0,24.8,0.392,0.405,0.527,0.92,0.5,2.1,2.6,4.5,1.2,0.2,1.1,1.6,8.3,MIN,9975962,10774038,0,0,0,0,20750000,2
Jonas Valančiūnas,32.0,C,64.0,20.1,0.545,0.25,0.552,0.865,2.5,5.8,8.3,2.2,0.5,0.6,1.6,2.2,11.1,SAC,9900000,10395000,10000000,0,0,0,20295000,3
Alex Caruso,30.0,SG,42.0,19.0,0.439,0.353,0.54,0.826,0.7,2.0,2.7,2.5,1.6,0.5,0.7,1.8,6.5,OKC,9890000,18102000,19550160,20998320,22446480,0,90986960,5
Jabari Smith Jr.,21.0,PF,44.0,30.8,0.42,0.344,0.507,0.816,1.9,4.7,6.6,1.0,0.3,0.8,1.0,2.3,11.8,HOU,9770880,12350392,0,0,0,0,22121272,2
Derrick Jones Jr.,27.0,SF,61.0,24.8,0.526,0.368,0.591,0.703,1.3,2.2,3.5,0.8,1.1,0.4,0.9,2.0,10.4,LAC,9523810,10000000,10476190,0,0,0,30000000,3
Al Horford,38.0,C,51.0,27.4,0.419,0.364,0.544,0.893,1.2,4.6,5.8,2.0,0.6,0.9,0.7,1.4,8.5,BOS,9500000,0,0,0,0,0,9500000,1
Pat Connaughton,32.0,SG,31.0,14.8,0.431,0.323,0.517,0.765,0.5,2.1,2.6,1.6,0.2,0.3,0.6,1.1,4.3,MIL,9423869,9423869,0,0,0,0,9423869,2
Royce O'Neale,31.0,SF,60.0,25.4,0.431,0.415,0.588,0.731,0.8,4.0,4.8,2.2,1.0,0.5,0.9,2.0,9.4,PHO,9375000,10125000,10875000,11625000,0,0,42000000,4
T.J. McConnell,32.0,PG,61.0,17.9,0.523,0.31,0.536,0.746,0.5,1.9,2.4,4.5,1.2,0.3,1.4,1.0,9.5,IND,9300000,10200000,11000000,11800000,11800000,0,42300000,5
Luke Kennard,28.0,SG,51.0,22.5,0.489,0.464,0.632,0.885,0.6,2.2,2.8,3.4,0.7,0.1,1.1,0.9,9.7,MEM,9250000,0,0,0,0,0,9250000,1
