Rk,Player,Age,Pos,G,MP,FG%,3P%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
390,Kevin Knox,25,SF,7,7.3,.458,.273,.521,.750,0.9,0.7,1.6,0.6,0.1,0.6,0.1,0.7,4.0,knoxke01
391,Pelle Larsson,23,SG,42,13.0,.441,.324,.522,.683,0.4,1.0,1.5,1.0,0.4,0.1,0.3,1.8,4.0,larsspe01
392,Kyle Lowry,38,PG,33,18.9,.351,.337,.477,.818,0.3,1.6,2.0,2.8,0.9,0.3,0.6,1.8,4.0,lowryky01
393,Kris Murray,24,SF,55,13.8,.450,.256,.502,.409,1.0,1.2,2.3,0.8,0.5,0.2,0.5,0.9,4.0,murrakr01
394,Josh Richardson,31,SG,8,18.8,.289,.273,.368,1.000,0.8,0.8,1.5,1.5,1.0,0.1,1.0,2.1,4.0,richajo01
395,Landry Shamet,27,SG,33,12.0,.486,.361,.589,.556,0.2,0.8,0.9,0.5,0.5,0.1,0.4,0.9,4.0,shamela01
396,Lamar Stevens,27,PF,6,9.8,.350,.364,.450,.750,0.3,2.7,3.0,0.5,0.5,0.3,0.5,1.2,4.0,stevela01
397,Ousmane Dieng,21,C,36,11.2,.435,.324,.528,.688,0.5,1.8,2.3,0.9,0.5,0.2,0.5,0.9,3.9,diengou01
398,Kessler Edwards,24,SF,36,14.1,.496,.372,.564,.909,0.6,2.1,2.7,1.1,0.5,0.4,0.4,1.4,3.9,edwarke02
399,Dariq Whitehead,20,SF,10,5.9,.481,.522,.704,.333,0.1,0.5,0.6,0.1,0.3,0.1,0.6,0.2,3.9,whiteda01
400,Olivier-Maxence Prosper,22,PF,52,11.2,.402,.235,.437,.645,0.8,1.6,2.4,0.8,0.5,0.1,0.3,0.5,3.9,prospol01
401,Reed Sheppard,20,PG,45,11.9,.332,.279,.411,.813,0.4,1.0,1.4,1.2,0.6,0.3,0.6,0.9,3.9,sheppre01
402,Dalen Terry,22,SG,59,12.4,.452,.319,.511,.678,0.5,0.9,1.4,1.2,0.5,0.2,0.6,1.4,3.9,terryda01
403,Nicolas Batum,36,PF,64,18.0,.406,.401,.576,.833,0.6,2.1,2.8,1.1,0.7,0.5,0.4,1.4,3.8,batumni01
404,Malaki Branham,21,SG,37,8.2,.429,.386,.521,.850,0.1,0.9,1.0,0.7,0.2,0.1,0.8,0.4,3.8,branhma01
405,Isaac Jones,24,PF,29,8.7,.667,.333,.682,.618,0.6,1.0,1.5,0.3,0.1,0.3,0.4,0.9,3.8,jonesis01
